,Interval_length,group
0,2.86095924196803,CSSA-M
0,2.95888964319507,CSSA-M
0,3.27830266393509,CSSA-M
0,3.2908655535442,CSSA-M
0,2.86983212380608,CSSA-M
0,2.86972255210208,CSSA-M
0,2.92114417818131,CSSA-M
0,3.14476108938198,CSSA-M
0,2.97542892057582,CSSA-M
0,2.91138231688671,CSSA-M
0,2.96301859537261,CSSA-M
0,2.87028000409059,CSSA-M
0,2.8327084050338,CSSA-M
0,3.03981500631188,CSSA-M
0,2.84295155563986,CSSA-M
0,3.16079452018144,CSSA-M
0,2.9588200328018,CSSA-M
0,2.68178605120932,CSSA-M
0,3.08947199751472,CSSA-M
0,2.80253338862564,CSSA-M
