,Interval_length,group
0,3.67898551928221,CSSA-M
0,3.38384197686049,CSSA-M
0,3.59966369023903,CSSA-M
0,3.79950809134859,CSSA-M
0,3.77671827304745,CSSA-M
0,3.37436050294088,CSSA-M
0,3.64430008350427,CSSA-M
0,3.60264279880823,CSSA-M
0,3.49357884701298,CSSA-M
0,3.66698249403124,CSSA-M
0,3.38364878890612,CSSA-M
0,3.85510251716778,CSSA-M
0,3.44853554650824,CSSA-M
0,3.67049952232377,CSSA-M
0,3.95534918067892,CSSA-M
0,3.77816412414747,CSSA-M
0,3.65794391160568,CSSA-M
0,3.27470068645712,CSSA-M
0,3.60060077727979,CSSA-M
0,3.26961821347132,CSSA-M
