"","mean_low","mean_high","mean_y1_mean","mean_y0_mean"
"1",-6089335.821223,6015679.49769767,11764718.1311765,15384632.8376923
"2",-3348340.346041,3369674.69126266,11764718.1311765,15384632.8376923
"3",-8316671.84414567,8289010.31752133,11764718.1311765,15384632.8376923
"4",-6754005.27940767,6555676.914309,11764718.1311765,15384632.8376923
"5",-3876673.35849501,3833341.70045633,11764718.1311765,15384632.8376923
"6",-6906672.29359567,6647008.687567,11764718.1311765,15384632.8376923
"7",-3910339.47721067,3372009.30441634,11764718.1311765,15384632.8376923
"8",-7177670.690802,7331344.12913033,11764718.1311765,15384632.8376923
"9",-5510005.09097767,5367010.12930733,11764718.1311765,15384632.8376923
"10",-5592670.32001167,5402345.53082833,11764718.1311765,15384632.8376923
"11",-6561004.88468967,6759010.77541966,11764718.1311765,15384632.8376923
"12",-4772339.23884633,4904341.84727233,11764718.1311765,15384632.8376923
"13",-6247005.47126467,6228342.25764699,11764718.1311765,15384632.8376923
"14",-5314673.762789,5243341.75986566,11764718.1311765,15384632.8376923
"15",-5310004.97520167,5368676.19407566,11764718.1311765,15384632.8376923
