Interval_length,group,Coverage,group
4.98261377,CSA-M,0.8095,CSA-M
4.893903061,CSA-M,0.8014,CSA-M
5.857804768,CSA-M,0.893,CSA-M
5.655724859,CSA-M,0.873,CSA-M
5.04471285,CSA-M,0.8168,CSA-M
6.58087613,CSA-Q,0.9372,CSA-Q
6.007087971,CSA-Q,0.9089,CSA-Q
6.070327437,CSA-Q,0.9151,CSA-Q
6.414573771,CSA-Q,0.932,CSA-Q
5.73808669,CSA-Q,0.8925,CSA-Q
4.293201209,ITE-NUS,0.7315,ITE-NUS
3.899429914,ITE-NUS,0.6835,ITE-NUS
3.674454249,ITE-NUS,0.6509,ITE-NUS
4.022038631,ITE-NUS,0.7009,ITE-NUS
4.050460705,ITE-NUS,0.6972,ITE-NUS
9.292360056,CSA-B,0.9938,CSA-B
9.407644799,CSA-B,0.9947,CSA-B
8.885310282,CSA-B,0.9921,CSA-B
9.227955339,CSA-B,0.9944,CSA-B
9.935262259,CSA-B,0.9981,CSA-B
,,,
,,,
,,,
length,[RF+quantRF],coverage,
5.286951862,CSA-M,0.83874,
6.1621904,CSA-Q,0.91714,
3.987916941,IITE-NUS,0.6928,
9.349706547,CSA-B,0.99462,
