"Coverage","group"
0.9168,"CSA-M"
0.9502,"CSA-M"
0.921,"CSA-M"
0.927,"CSA-M"
0.866,"CSA-M"
0.9472,"CSA-M"
0.8976,"CSA-M"
0.8544,"CSA-M"
0.966,"CSA-M"
0.9074,"CSA-M"
0.9354,"CSA-M"
0.9396,"CSA-M"
0.9516,"CSA-M"
0.9256,"CSA-M"
0.9202,"CSA-M"
0.9296,"CSA-M"
0.95,"CSA-M"
0.9338,"CSA-M"
0.952,"CSA-M"
0.8952,"CSA-M"
0.9496,"CSA-M"
0.9362,"CSA-M"
0.9144,"CSA-M"
0.9272,"CSA-M"
0.8834,"CSA-M"
0.874,"CSA-M"
0.8614,"CSA-M"
0.9054,"CSA-M"
0.9522,"CSA-M"
0.9066,"CSA-M"
0.8994,"CSA-M"
0.9496,"CSA-M"
0.9208,"CSA-M"
0.9388,"CSA-M"
0.9474,"CSA-M"
0.879,"CSA-M"
0.948,"CSA-M"
0.9328,"CSA-M"
0.8606,"CSA-M"
0.8882,"CSA-M"
0.9166,"CSA-M"
0.8764,"CSA-M"
0.9284,"CSA-M"
0.8924,"CSA-M"
0.8956,"CSA-M"
0.8964,"CSA-M"
0.9068,"CSA-M"
0.9156,"CSA-M"
0.9374,"CSA-M"
0.922,"CSA-M"
0.8882,"CSA-Q"
0.9094,"CSA-Q"
0.9236,"CSA-Q"
0.9454,"CSA-Q"
0.9292,"CSA-Q"
0.9482,"CSA-Q"
0.933,"CSA-Q"
0.9118,"CSA-Q"
0.9282,"CSA-Q"
0.9596,"CSA-Q"
0.858,"CSA-Q"
0.9378,"CSA-Q"
0.9324,"CSA-Q"
0.9042,"CSA-Q"
0.9092,"CSA-Q"
0.9352,"CSA-Q"
0.9616,"CSA-Q"
0.9486,"CSA-Q"
0.9348,"CSA-Q"
0.9112,"CSA-Q"
0.925,"CSA-Q"
0.8986,"CSA-Q"
0.8982,"CSA-Q"
0.9178,"CSA-Q"
0.9644,"CSA-Q"
0.8966,"CSA-Q"
0.929,"CSA-Q"
0.9396,"CSA-Q"
0.9166,"CSA-Q"
0.8972,"CSA-Q"
0.923,"CSA-Q"
0.9294,"CSA-Q"
0.8778,"CSA-Q"
0.939,"CSA-Q"
0.935,"CSA-Q"
0.8704,"CSA-Q"
0.8808,"CSA-Q"
0.9378,"CSA-Q"
0.9364,"CSA-Q"
0.9282,"CSA-Q"
0.9314,"CSA-Q"
0.919,"CSA-Q"
0.9212,"CSA-Q"
0.9256,"CSA-Q"
0.9434,"CSA-Q"
0.8918,"CSA-Q"
0.9076,"CSA-Q"
0.944,"CSA-Q"
0.9022,"CSA-Q"
0.9216,"CSA-Q"
0.7708,"ITE-NUC"
0.759,"ITE-NUC"
0.835,"ITE-NUC"
0.7944,"ITE-NUC"
0.8046,"ITE-NUC"
0.796,"ITE-NUC"
0.718,"ITE-NUC"
0.7566,"ITE-NUC"
0.7686,"ITE-NUC"
0.8356,"ITE-NUC"
0.8124,"ITE-NUC"
0.7638,"ITE-NUC"
0.814,"ITE-NUC"
0.7992,"ITE-NUC"
0.7508,"ITE-NUC"
0.7974,"ITE-NUC"
0.8036,"ITE-NUC"
0.801,"ITE-NUC"
0.7372,"ITE-NUC"
0.7756,"ITE-NUC"
0.7944,"ITE-NUC"
0.7558,"ITE-NUC"
0.7994,"ITE-NUC"
0.7634,"ITE-NUC"
0.744,"ITE-NUC"
0.8002,"ITE-NUC"
0.7546,"ITE-NUC"
0.7766,"ITE-NUC"
0.8108,"ITE-NUC"
0.7774,"ITE-NUC"
0.7512,"ITE-NUC"
0.7732,"ITE-NUC"
0.8014,"ITE-NUC"
0.7774,"ITE-NUC"
0.7784,"ITE-NUC"
0.7966,"ITE-NUC"
0.7716,"ITE-NUC"
0.8074,"ITE-NUC"
0.789,"ITE-NUC"
0.77,"ITE-NUC"
0.7638,"ITE-NUC"
0.8358,"ITE-NUC"
0.7676,"ITE-NUC"
0.7896,"ITE-NUC"
0.7676,"ITE-NUC"
0.7884,"ITE-NUC"
0.7554,"ITE-NUC"
0.8072,"ITE-NUC"
0.7856,"ITE-NUC"
0.7938,"ITE-NUC"
0.9864,"CSA-B"
0.9956,"CSA-B"
0.9876,"CSA-B"
0.9936,"CSA-B"
0.9912,"CSA-B"
0.9898,"CSA-B"
0.9934,"CSA-B"
0.9932,"CSA-B"
0.9886,"CSA-B"
0.9916,"CSA-B"
0.9814,"CSA-B"
0.989,"CSA-B"
0.9914,"CSA-B"
0.9936,"CSA-B"
0.9952,"CSA-B"
0.9882,"CSA-B"
0.993,"CSA-B"
0.992,"CSA-B"
0.994,"CSA-B"
0.9904,"CSA-B"
0.9854,"CSA-B"
0.9904,"CSA-B"
0.9924,"CSA-B"
0.9842,"CSA-B"
0.9904,"CSA-B"
0.9936,"CSA-B"
0.9892,"CSA-B"
0.9884,"CSA-B"
0.9916,"CSA-B"
0.9778,"CSA-B"
0.9856,"CSA-B"
0.987,"CSA-B"
0.9782,"CSA-B"
0.979,"CSA-B"
0.9936,"CSA-B"
0.9946,"CSA-B"
0.9868,"CSA-B"
0.9926,"CSA-B"
0.9928,"CSA-B"
0.991,"CSA-B"
0.9924,"CSA-B"
0.99,"CSA-B"
0.9942,"CSA-B"
0.9912,"CSA-B"
0.9868,"CSA-B"
0.9896,"CSA-B"
0.995,"CSA-B"
0.9946,"CSA-B"
0.986,"CSA-B"
0.9912,"CSA-B"
