"Coverage","group"
0.9522,"CSA-M"
0.9172,"CSA-M"
0.9068,"CSA-M"
0.8798,"CSA-M"
0.9134,"CSA-M"
0.9946,"CSA-M"
0.9746,"CSA-M"
0.9146,"CSA-M"
0.9028,"CSA-M"
0.9376,"CSA-M"
0.9392,"CSA-M"
0.9318,"CSA-M"
0.8978,"CSA-M"
0.9652,"CSA-M"
0.916,"CSA-M"
0.9246,"CSA-M"
0.9132,"CSA-M"
0.9078,"CSA-M"
0.9262,"CSA-M"
0.9738,"CSA-M"
0.9558,"CSA-M"
0.9258,"CSA-M"
0.974,"CSA-M"
0.9472,"CSA-M"
0.9454,"CSA-M"
0.951,"CSA-M"
0.908,"CSA-M"
0.9378,"CSA-M"
0.8984,"CSA-M"
0.9512,"CSA-M"
0.9804,"CSA-M"
0.9094,"CSA-M"
0.9418,"CSA-M"
0.9362,"CSA-M"
0.9416,"CSA-M"
0.936,"CSA-M"
0.9282,"CSA-M"
0.9542,"CSA-M"
0.8892,"CSA-M"
0.9228,"CSA-M"
0.9382,"CSA-M"
0.9696,"CSA-M"
0.937,"CSA-M"
0.9228,"CSA-M"
0.9352,"CSA-M"
0.994,"CSA-M"
0.8722,"CSA-M"
0.9156,"CSA-M"
0.9636,"CSA-M"
0.9306,"CSA-M"
0.9368,"CSA-Q"
0.9724,"CSA-Q"
0.9334,"CSA-Q"
0.9272,"CSA-Q"
0.9188,"CSA-Q"
0.9684,"CSA-Q"
0.9666,"CSA-Q"
0.927,"CSA-Q"
0.956,"CSA-Q"
0.9612,"CSA-Q"
0.9316,"CSA-Q"
0.9336,"CSA-Q"
0.9398,"CSA-Q"
0.9042,"CSA-Q"
0.931,"CSA-Q"
0.9344,"CSA-Q"
0.938,"CSA-Q"
0.9354,"CSA-Q"
0.9446,"CSA-Q"
0.9316,"CSA-Q"
0.9326,"CSA-Q"
0.933,"CSA-Q"
0.9642,"CSA-Q"
0.9448,"CSA-Q"
0.8888,"CSA-Q"
0.9172,"CSA-Q"
0.9426,"CSA-Q"
0.9468,"CSA-Q"
0.9404,"CSA-Q"
0.9234,"CSA-Q"
0.933,"CSA-Q"
0.8858,"CSA-Q"
0.9376,"CSA-Q"
0.9308,"CSA-Q"
0.9272,"CSA-Q"
0.9446,"CSA-Q"
0.9248,"CSA-Q"
0.941,"CSA-Q"
0.9392,"CSA-Q"
0.919,"CSA-Q"
0.9374,"CSA-Q"
0.946,"CSA-Q"
0.9198,"CSA-Q"
0.9364,"CSA-Q"
0.9274,"CSA-Q"
0.9284,"CSA-Q"
0.912,"CSA-Q"
0.9374,"CSA-Q"
0.9422,"CSA-Q"
0.9222,"CSA-Q"
0.7732,"ITE-NUC"
0.7794,"ITE-NUC"
0.7598,"ITE-NUC"
0.766,"ITE-NUC"
0.7302,"ITE-NUC"
0.793,"ITE-NUC"
0.7732,"ITE-NUC"
0.7704,"ITE-NUC"
0.7226,"ITE-NUC"
0.7932,"ITE-NUC"
0.7726,"ITE-NUC"
0.7826,"ITE-NUC"
0.7858,"ITE-NUC"
0.766,"ITE-NUC"
0.7862,"ITE-NUC"
0.7946,"ITE-NUC"
0.7996,"ITE-NUC"
0.775,"ITE-NUC"
0.7886,"ITE-NUC"
0.7532,"ITE-NUC"
0.7996,"ITE-NUC"
0.7544,"ITE-NUC"
0.8132,"ITE-NUC"
0.831,"ITE-NUC"
0.7956,"ITE-NUC"
0.7844,"ITE-NUC"
0.7844,"ITE-NUC"
0.7296,"ITE-NUC"
0.8082,"ITE-NUC"
0.7544,"ITE-NUC"
0.7216,"ITE-NUC"
0.7586,"ITE-NUC"
0.7524,"ITE-NUC"
0.7898,"ITE-NUC"
0.752,"ITE-NUC"
0.7614,"ITE-NUC"
0.7612,"ITE-NUC"
0.7338,"ITE-NUC"
0.7722,"ITE-NUC"
0.8148,"ITE-NUC"
0.788,"ITE-NUC"
0.8038,"ITE-NUC"
0.7666,"ITE-NUC"
0.7376,"ITE-NUC"
0.753,"ITE-NUC"
0.7328,"ITE-NUC"
0.7574,"ITE-NUC"
0.7736,"ITE-NUC"
0.7498,"ITE-NUC"
0.7654,"ITE-NUC"
0.9938,"CSA-B"
0.986,"CSA-B"
0.9954,"CSA-B"
0.9978,"CSA-B"
0.9908,"CSA-B"
0.9932,"CSA-B"
0.9896,"CSA-B"
0.9964,"CSA-B"
0.9898,"CSA-B"
0.9858,"CSA-B"
0.992,"CSA-B"
0.9942,"CSA-B"
0.9952,"CSA-B"
0.9926,"CSA-B"
0.9886,"CSA-B"
0.9906,"CSA-B"
0.993,"CSA-B"
0.9966,"CSA-B"
0.9942,"CSA-B"
0.9934,"CSA-B"
0.989,"CSA-B"
0.986,"CSA-B"
0.9912,"CSA-B"
0.9888,"CSA-B"
0.9932,"CSA-B"
0.991,"CSA-B"
0.9874,"CSA-B"
0.9938,"CSA-B"
0.991,"CSA-B"
0.9876,"CSA-B"
0.9896,"CSA-B"
0.991,"CSA-B"
0.9912,"CSA-B"
0.994,"CSA-B"
0.9946,"CSA-B"
0.9886,"CSA-B"
0.9926,"CSA-B"
0.992,"CSA-B"
0.9924,"CSA-B"
0.9964,"CSA-B"
0.9898,"CSA-B"
0.9876,"CSA-B"
0.9946,"CSA-B"
0.9886,"CSA-B"
0.9926,"CSA-B"
0.994,"CSA-B"
0.9906,"CSA-B"
0.9956,"CSA-B"
0.9902,"CSA-B"
0.9904,"CSA-B"
