"Interval_length","group"
11.7653857164567,"CSA-huber"
3.77548107919545,"CSA-huber"
7.05289159323327,"CSA-huber"
7.07380431242205,"CSA-huber"
3.89937596273832,"CSA-huber"
4.72236678984966,"CSA-huber"
5.65087507788113,"CSA-huber"
9.23831778208909,"CSA-huber"
5.44514270942393,"CSA-huber"
7.31024782176569,"CSA-huber"
4.87939030077126,"CSA-huber"
5.73252519497606,"CSA-huber"
4.3041858955346,"CSA-huber"
5.10545016046166,"CSA-huber"
4.96980912990767,"CSA-huber"
8.48253504272715,"CSA-huber"
4.57141654690273,"CSA-huber"
4.23104713204004,"CSA-huber"
8.04206792401512,"CSA-huber"
5.71680486400937,"CSA-huber"
3.63181679217033,"CSA-huber"
6.44494466434889,"CSA-huber"
3.11003790982455,"CSA-huber"
9.66383178443593,"CSA-huber"
4.57713646462904,"CSA-huber"
6.06435263403278,"CSA-huber"
5.86879263678631,"CSA-huber"
3.90820673169665,"CSA-huber"
4.925082508245,"CSA-huber"
4.01412366524894,"CSA-huber"
6.9143445260885,"CSA-M"
6.96197688011276,"CSA-M"
6.31846635881978,"CSA-M"
6.57768230638461,"CSA-M"
6.69222291209229,"CSA-M"
6.90855616209783,"CSA-M"
6.60578906623562,"CSA-M"
7.04764528233398,"CSA-M"
6.03074520864862,"CSA-M"
6.61778354276671,"CSA-M"
6.9803884256864,"CSA-M"
6.90272831975578,"CSA-M"
7.24959467932314,"CSA-M"
5.99111771015175,"CSA-M"
6.55115894344229,"CSA-M"
7.03663589556215,"CSA-M"
7.27959266253795,"CSA-M"
6.42355210883572,"CSA-M"
6.15629655131415,"CSA-M"
7.23851564134091,"CSA-M"
6.78497765127765,"CSA-M"
6.84254700419493,"CSA-M"
6.27786683207534,"CSA-M"
6.43424182062932,"CSA-M"
7.65455139078382,"CSA-M"
6.78101320436906,"CSA-M"
6.33639344783964,"CSA-M"
6.92752640045915,"CSA-M"
6.48856976885415,"CSA-M"
7.1089577572773,"CSA-M"
7.39682094120552,"CSA-Q"
6.22370019343616,"CSA-Q"
6.10562634140713,"CSA-Q"
7.7505973074876,"CSA-Q"
8.05435564620453,"CSA-Q"
6.80729619935581,"CSA-Q"
6.86406906188152,"CSA-Q"
6.81191188980842,"CSA-Q"
6.8819669174069,"CSA-Q"
6.73429578805254,"CSA-Q"
7.66636698892768,"CSA-Q"
6.50224357243704,"CSA-Q"
5.37971843565697,"CSA-Q"
6.48933913269805,"CSA-Q"
6.55953931354822,"CSA-Q"
6.65989198653783,"CSA-Q"
6.98857381329248,"CSA-Q"
6.38778548407228,"CSA-Q"
6.486327488183,"CSA-Q"
6.82032381487381,"CSA-Q"
7.82891764187917,"CSA-Q"
6.48156359406827,"CSA-Q"
6.41768208868258,"CSA-Q"
6.59506654649513,"CSA-Q"
6.82825554918365,"CSA-Q"
6.81218635276301,"CSA-Q"
7.17207951236811,"CSA-Q"
7.11119073930795,"CSA-Q"
7.0168262575055,"CSA-Q"
6.30910059681969,"CSA-Q"
6.30102781233188,"ITE-NUC"
6.81117360208845,"ITE-NUC"
6.15384332516573,"ITE-NUC"
7.16461340222034,"ITE-NUC"
6.93084140767754,"ITE-NUC"
7.36620826929721,"ITE-NUC"
6.57382162164241,"ITE-NUC"
6.35190481756362,"ITE-NUC"
7.15415835190278,"ITE-NUC"
6.87490985890677,"ITE-NUC"
6.99985940662649,"ITE-NUC"
6.37749954154415,"ITE-NUC"
6.41031245479366,"ITE-NUC"
7.50676063072149,"ITE-NUC"
5.97901573336389,"ITE-NUC"
6.4282432088985,"ITE-NUC"
6.28597988296516,"ITE-NUC"
6.40334464539782,"ITE-NUC"
6.20965456310895,"ITE-NUC"
6.87179197415772,"ITE-NUC"
6.83962124455954,"ITE-NUC"
5.96096817620888,"ITE-NUC"
6.15239641070858,"ITE-NUC"
6.74335142784068,"ITE-NUC"
6.88753724516976,"ITE-NUC"
6.51869671987647,"ITE-NUC"
6.42432004189733,"ITE-NUC"
6.95267533000397,"ITE-NUC"
7.08024323919698,"ITE-NUC"
6.37971539504874,"ITE-NUC"
14.9170310302219,"CSA-B"
14.8080980925411,"CSA-B"
13.7364792375222,"CSA-B"
13.9563191038493,"CSA-B"
14.2683387740655,"CSA-B"
12.6871534401798,"CSA-B"
13.3077914380367,"CSA-B"
13.1322199133253,"CSA-B"
13.2888943621768,"CSA-B"
14.5817451745397,"CSA-B"
13.4559882072619,"CSA-B"
13.3892116225563,"CSA-B"
14.644226125336,"CSA-B"
15.0200858890313,"CSA-B"
13.7300957545499,"CSA-B"
13.2357493086098,"CSA-B"
13.814592378412,"CSA-B"
13.6978446308165,"CSA-B"
14.0086842451524,"CSA-B"
13.1560358485935,"CSA-B"
14.9143724904653,"CSA-B"
13.6714727027351,"CSA-B"
13.0432184320239,"CSA-B"
13.6982127458585,"CSA-B"
14.6877716830457,"CSA-B"
12.4581641379545,"CSA-B"
12.3148078630448,"CSA-B"
13.9130000455236,"CSA-B"
13.5637454649258,"CSA-B"
12.7929409427398,"CSA-B"
