"Coverage","group"
0.6648,"CSA-huber"
0.7822,"CSA-huber"
0.7856,"CSA-huber"
0.6738,"CSA-huber"
0.7186,"CSA-huber"
0.6798,"CSA-huber"
0.8608,"CSA-huber"
0.74,"CSA-huber"
0.78,"CSA-huber"
0.7866,"CSA-huber"
0.7692,"CSA-huber"
0.8234,"CSA-huber"
0.8874,"CSA-huber"
0.5962,"CSA-huber"
0.7092,"CSA-huber"
0.7882,"CSA-huber"
0.7348,"CSA-huber"
0.7666,"CSA-huber"
0.66,"CSA-huber"
0.8158,"CSA-huber"
0.8626,"CSA-huber"
0.776,"CSA-huber"
0.6692,"CSA-huber"
0.5234,"CSA-huber"
0.7672,"CSA-huber"
0.8528,"CSA-huber"
0.782,"CSA-huber"
0.9216,"CSA-huber"
0.8248,"CSA-huber"
0.7564,"CSA-huber"
0.9094,"CSA-M"
0.9444,"CSA-M"
0.9152,"CSA-M"
0.864,"CSA-M"
0.8878,"CSA-M"
0.8778,"CSA-M"
0.8956,"CSA-M"
0.9002,"CSA-M"
0.9142,"CSA-M"
0.9376,"CSA-M"
0.9246,"CSA-M"
0.8998,"CSA-M"
0.9116,"CSA-M"
0.8876,"CSA-M"
0.8852,"CSA-M"
0.9234,"CSA-M"
0.8988,"CSA-M"
0.9048,"CSA-M"
0.9264,"CSA-M"
0.8746,"CSA-M"
0.898,"CSA-M"
0.864,"CSA-M"
0.92,"CSA-M"
0.8844,"CSA-M"
0.8602,"CSA-M"
0.9446,"CSA-M"
0.8846,"CSA-M"
0.893,"CSA-M"
0.895,"CSA-M"
0.881,"CSA-M"
0.898,"CSA-Q"
0.9238,"CSA-Q"
0.9156,"CSA-Q"
0.8694,"CSA-Q"
0.91,"CSA-Q"
0.9014,"CSA-Q"
0.9,"CSA-Q"
0.8948,"CSA-Q"
0.915,"CSA-Q"
0.912,"CSA-Q"
0.9176,"CSA-Q"
0.894,"CSA-Q"
0.9402,"CSA-Q"
0.8914,"CSA-Q"
0.8902,"CSA-Q"
0.9282,"CSA-Q"
0.9332,"CSA-Q"
0.9128,"CSA-Q"
0.8872,"CSA-Q"
0.9076,"CSA-Q"
0.9228,"CSA-Q"
0.8914,"CSA-Q"
0.8906,"CSA-Q"
0.8984,"CSA-Q"
0.8904,"CSA-Q"
0.9378,"CSA-Q"
0.8826,"CSA-Q"
0.9098,"CSA-Q"
0.8982,"CSA-Q"
0.9054,"CSA-Q"
0.7158,"ITE-NUC"
0.6516,"ITE-NUC"
0.6926,"ITE-NUC"
0.6764,"ITE-NUC"
0.7268,"ITE-NUC"
0.695,"ITE-NUC"
0.6678,"ITE-NUC"
0.7052,"ITE-NUC"
0.7356,"ITE-NUC"
0.6552,"ITE-NUC"
0.7008,"ITE-NUC"
0.684,"ITE-NUC"
0.6852,"ITE-NUC"
0.7122,"ITE-NUC"
0.67,"ITE-NUC"
0.6476,"ITE-NUC"
0.6964,"ITE-NUC"
0.6888,"ITE-NUC"
0.6946,"ITE-NUC"
0.6796,"ITE-NUC"
0.6702,"ITE-NUC"
0.6536,"ITE-NUC"
0.668,"ITE-NUC"
0.6488,"ITE-NUC"
0.674,"ITE-NUC"
0.7424,"ITE-NUC"
0.6874,"ITE-NUC"
0.6782,"ITE-NUC"
0.7082,"ITE-NUC"
0.6846,"ITE-NUC"
0.9956,"CSA-B"
0.9918,"CSA-B"
0.9964,"CSA-B"
0.9956,"CSA-B"
0.9956,"CSA-B"
0.99,"CSA-B"
0.9906,"CSA-B"
0.9922,"CSA-B"
0.991,"CSA-B"
0.9958,"CSA-B"
0.9944,"CSA-B"
0.9946,"CSA-B"
0.9916,"CSA-B"
0.9926,"CSA-B"
0.9924,"CSA-B"
0.995,"CSA-B"
0.995,"CSA-B"
0.9952,"CSA-B"
0.9926,"CSA-B"
0.9976,"CSA-B"
0.9936,"CSA-B"
0.9964,"CSA-B"
0.9936,"CSA-B"
0.9914,"CSA-B"
0.9934,"CSA-B"
0.9966,"CSA-B"
0.9936,"CSA-B"
0.9938,"CSA-B"
0.9796,"CSA-B"
0.9952,"CSA-B"
