"Coverage","group"
0.991,"CSA-M"
0.9728,"CSA-M"
0.939,"CSA-M"
0.8966,"CSA-M"
0.9784,"CSA-M"
0.9508,"CSA-M"
0.932,"CSA-M"
0.9796,"CSA-M"
0.9612,"CSA-M"
0.968,"CSA-M"
0.9766,"CSA-M"
0.937,"CSA-M"
0.944,"CSA-M"
0.9738,"CSA-M"
0.9612,"CSA-M"
0.957,"CSA-M"
0.9786,"CSA-M"
0.9508,"CSA-M"
0.9066,"CSA-M"
0.9724,"CSA-M"
0.8926,"CSA-M"
0.9572,"CSA-M"
0.9716,"CSA-M"
0.9686,"CSA-M"
0.942,"CSA-M"
0.9796,"CSA-M"
0.9866,"CSA-M"
0.9638,"CSA-M"
0.9526,"CSA-M"
0.9468,"CSA-M"
0.946,"CSA-M"
0.9362,"CSA-M"
0.9678,"CSA-M"
0.9632,"CSA-M"
0.9706,"CSA-M"
0.9454,"CSA-M"
0.9782,"CSA-M"
0.971,"CSA-M"
0.9402,"CSA-M"
0.9602,"CSA-M"
0.975,"CSA-M"
0.9732,"CSA-M"
0.9832,"CSA-M"
0.951,"CSA-M"
0.9786,"CSA-M"
0.9412,"CSA-M"
0.9296,"CSA-M"
0.998,"CSA-M"
0.9632,"CSA-M"
0.9926,"CSA-M"
0.9656,"CSA-Q"
0.9786,"CSA-Q"
0.9424,"CSA-Q"
0.9638,"CSA-Q"
0.9574,"CSA-Q"
0.9564,"CSA-Q"
0.9478,"CSA-Q"
0.9616,"CSA-Q"
0.9616,"CSA-Q"
0.9618,"CSA-Q"
0.9844,"CSA-Q"
0.9186,"CSA-Q"
0.9842,"CSA-Q"
0.9664,"CSA-Q"
0.9666,"CSA-Q"
0.913,"CSA-Q"
0.9672,"CSA-Q"
0.9752,"CSA-Q"
0.9682,"CSA-Q"
0.9526,"CSA-Q"
0.9818,"CSA-Q"
0.9136,"CSA-Q"
0.9586,"CSA-Q"
0.9586,"CSA-Q"
0.9188,"CSA-Q"
0.9686,"CSA-Q"
0.9748,"CSA-Q"
0.9184,"CSA-Q"
0.9446,"CSA-Q"
0.9664,"CSA-Q"
0.9708,"CSA-Q"
0.983,"CSA-Q"
0.9656,"CSA-Q"
0.958,"CSA-Q"
0.9718,"CSA-Q"
0.953,"CSA-Q"
0.9482,"CSA-Q"
0.9486,"CSA-Q"
0.9662,"CSA-Q"
0.9808,"CSA-Q"
0.9548,"CSA-Q"
0.959,"CSA-Q"
0.9658,"CSA-Q"
0.9664,"CSA-Q"
0.9782,"CSA-Q"
0.9748,"CSA-Q"
0.9696,"CSA-Q"
0.9754,"CSA-Q"
0.963,"CSA-Q"
0.9708,"CSA-Q"
0.8108,"ITE-NUC"
0.7956,"ITE-NUC"
0.7982,"ITE-NUC"
0.7874,"ITE-NUC"
0.7592,"ITE-NUC"
0.8196,"ITE-NUC"
0.8234,"ITE-NUC"
0.833,"ITE-NUC"
0.8058,"ITE-NUC"
0.7864,"ITE-NUC"
0.8614,"ITE-NUC"
0.7464,"ITE-NUC"
0.8638,"ITE-NUC"
0.814,"ITE-NUC"
0.8132,"ITE-NUC"
0.8238,"ITE-NUC"
0.8136,"ITE-NUC"
0.8442,"ITE-NUC"
0.8584,"ITE-NUC"
0.8334,"ITE-NUC"
0.7964,"ITE-NUC"
0.8148,"ITE-NUC"
0.8212,"ITE-NUC"
0.795,"ITE-NUC"
0.7822,"ITE-NUC"
0.8292,"ITE-NUC"
0.8408,"ITE-NUC"
0.8032,"ITE-NUC"
0.7996,"ITE-NUC"
0.8226,"ITE-NUC"
0.8358,"ITE-NUC"
0.7684,"ITE-NUC"
0.818,"ITE-NUC"
0.7804,"ITE-NUC"
0.8226,"ITE-NUC"
0.8082,"ITE-NUC"
0.7958,"ITE-NUC"
0.8296,"ITE-NUC"
0.7736,"ITE-NUC"
0.8676,"ITE-NUC"
0.801,"ITE-NUC"
0.8208,"ITE-NUC"
0.7036,"ITE-NUC"
0.8082,"ITE-NUC"
0.8022,"ITE-NUC"
0.773,"ITE-NUC"
0.7838,"ITE-NUC"
0.7996,"ITE-NUC"
0.8198,"ITE-NUC"
0.8266,"ITE-NUC"
0.9914,"CSA-B"
0.991,"CSA-B"
0.9908,"CSA-B"
0.9844,"CSA-B"
0.989,"CSA-B"
0.995,"CSA-B"
0.9896,"CSA-B"
0.9904,"CSA-B"
0.9902,"CSA-B"
0.9936,"CSA-B"
0.9974,"CSA-B"
0.9896,"CSA-B"
0.9946,"CSA-B"
0.9954,"CSA-B"
0.9944,"CSA-B"
0.9944,"CSA-B"
0.9952,"CSA-B"
0.9914,"CSA-B"
0.9948,"CSA-B"
0.9944,"CSA-B"
0.9906,"CSA-B"
0.9848,"CSA-B"
0.9894,"CSA-B"
0.9958,"CSA-B"
0.9808,"CSA-B"
0.992,"CSA-B"
0.9954,"CSA-B"
0.9982,"CSA-B"
0.9962,"CSA-B"
0.9926,"CSA-B"
0.997,"CSA-B"
0.995,"CSA-B"
0.9948,"CSA-B"
0.9952,"CSA-B"
0.9958,"CSA-B"
0.9956,"CSA-B"
0.997,"CSA-B"
0.9924,"CSA-B"
0.997,"CSA-B"
0.9928,"CSA-B"
0.9898,"CSA-B"
0.9952,"CSA-B"
0.9976,"CSA-B"
0.9946,"CSA-B"
0.9928,"CSA-B"
0.995,"CSA-B"
0.9916,"CSA-B"
0.9922,"CSA-B"
0.9794,"CSA-B"
0.9946,"CSA-B"
