"Coverage","group"
0.9704,"CSA-M"
0.9694,"CSA-M"
0.9664,"CSA-M"
0.987,"CSA-M"
0.978,"CSA-M"
0.9824,"CSA-M"
0.9438,"CSA-M"
0.9978,"CSA-M"
0.9058,"CSA-M"
0.9908,"CSA-M"
0.959,"CSA-M"
0.974,"CSA-M"
0.9858,"CSA-M"
0.9582,"CSA-M"
0.9574,"CSA-M"
0.9386,"CSA-M"
0.9938,"CSA-M"
0.9864,"CSA-M"
0.9704,"CSA-M"
0.965,"CSA-M"
0.9708,"CSA-M"
0.9782,"CSA-M"
0.9582,"CSA-M"
0.986,"CSA-M"
0.9772,"CSA-M"
0.9666,"CSA-M"
0.9724,"CSA-M"
0.9924,"CSA-M"
0.9686,"CSA-M"
0.9782,"CSA-M"
0.9802,"CSA-M"
0.986,"CSA-M"
0.9492,"CSA-M"
0.95,"CSA-M"
0.9586,"CSA-M"
0.9588,"CSA-M"
0.9878,"CSA-M"
0.9742,"CSA-M"
0.9282,"CSA-M"
0.9716,"CSA-M"
0.9848,"CSA-M"
0.9886,"CSA-M"
0.9684,"CSA-M"
0.9552,"CSA-M"
0.9794,"CSA-M"
0.9732,"CSA-M"
0.9974,"CSA-M"
0.9838,"CSA-M"
0.9908,"CSA-M"
0.997,"CSA-M"
0.9916,"CSA-Q"
0.978,"CSA-Q"
0.971,"CSA-Q"
0.9752,"CSA-Q"
0.9814,"CSA-Q"
0.9868,"CSA-Q"
0.999,"CSA-Q"
0.9942,"CSA-Q"
0.9756,"CSA-Q"
0.992,"CSA-Q"
0.9658,"CSA-Q"
0.98,"CSA-Q"
0.9908,"CSA-Q"
0.9832,"CSA-Q"
0.9642,"CSA-Q"
0.984,"CSA-Q"
0.9712,"CSA-Q"
0.969,"CSA-Q"
0.9916,"CSA-Q"
0.9648,"CSA-Q"
0.9434,"CSA-Q"
0.9792,"CSA-Q"
0.9738,"CSA-Q"
0.9858,"CSA-Q"
0.99,"CSA-Q"
0.932,"CSA-Q"
0.955,"CSA-Q"
0.9806,"CSA-Q"
0.97,"CSA-Q"
0.9754,"CSA-Q"
0.9726,"CSA-Q"
0.9432,"CSA-Q"
0.9884,"CSA-Q"
0.9722,"CSA-Q"
0.987,"CSA-Q"
0.9626,"CSA-Q"
0.9886,"CSA-Q"
0.9342,"CSA-Q"
0.9824,"CSA-Q"
0.9706,"CSA-Q"
0.993,"CSA-Q"
0.9772,"CSA-Q"
0.9934,"CSA-Q"
0.985,"CSA-Q"
0.9888,"CSA-Q"
0.963,"CSA-Q"
0.9818,"CSA-Q"
0.9908,"CSA-Q"
0.9844,"CSA-Q"
0.9828,"CSA-Q"
0.8034,"ITE-NUC"
0.8384,"ITE-NUC"
0.8238,"ITE-NUC"
0.7456,"ITE-NUC"
0.8032,"ITE-NUC"
0.7972,"ITE-NUC"
0.7686,"ITE-NUC"
0.8192,"ITE-NUC"
0.795,"ITE-NUC"
0.7248,"ITE-NUC"
0.7932,"ITE-NUC"
0.8014,"ITE-NUC"
0.8578,"ITE-NUC"
0.82,"ITE-NUC"
0.7666,"ITE-NUC"
0.7966,"ITE-NUC"
0.808,"ITE-NUC"
0.7938,"ITE-NUC"
0.7666,"ITE-NUC"
0.805,"ITE-NUC"
0.7894,"ITE-NUC"
0.795,"ITE-NUC"
0.8164,"ITE-NUC"
0.8248,"ITE-NUC"
0.8424,"ITE-NUC"
0.814,"ITE-NUC"
0.8046,"ITE-NUC"
0.7924,"ITE-NUC"
0.8222,"ITE-NUC"
0.8488,"ITE-NUC"
0.7646,"ITE-NUC"
0.8286,"ITE-NUC"
0.8112,"ITE-NUC"
0.771,"ITE-NUC"
0.7738,"ITE-NUC"
0.7526,"ITE-NUC"
0.7872,"ITE-NUC"
0.7738,"ITE-NUC"
0.7758,"ITE-NUC"
0.7974,"ITE-NUC"
0.8228,"ITE-NUC"
0.8246,"ITE-NUC"
0.8306,"ITE-NUC"
0.7908,"ITE-NUC"
0.8488,"ITE-NUC"
0.8122,"ITE-NUC"
0.8354,"ITE-NUC"
0.7948,"ITE-NUC"
0.7698,"ITE-NUC"
0.7944,"ITE-NUC"
0.9944,"CSA-B"
0.9968,"CSA-B"
0.9898,"CSA-B"
0.9948,"CSA-B"
0.9884,"CSA-B"
0.9942,"CSA-B"
0.9932,"CSA-B"
0.9932,"CSA-B"
0.994,"CSA-B"
0.9936,"CSA-B"
0.9934,"CSA-B"
0.9962,"CSA-B"
0.996,"CSA-B"
0.9932,"CSA-B"
0.9958,"CSA-B"
0.9966,"CSA-B"
0.9976,"CSA-B"
0.9954,"CSA-B"
0.9936,"CSA-B"
0.9976,"CSA-B"
0.9972,"CSA-B"
0.998,"CSA-B"
0.9956,"CSA-B"
0.9936,"CSA-B"
0.9938,"CSA-B"
0.9848,"CSA-B"
0.9984,"CSA-B"
0.9942,"CSA-B"
0.9904,"CSA-B"
0.9948,"CSA-B"
0.9978,"CSA-B"
0.9938,"CSA-B"
0.9934,"CSA-B"
0.995,"CSA-B"
0.9914,"CSA-B"
0.9976,"CSA-B"
0.9968,"CSA-B"
0.9898,"CSA-B"
0.994,"CSA-B"
0.994,"CSA-B"
0.9962,"CSA-B"
0.9912,"CSA-B"
0.9982,"CSA-B"
0.9942,"CSA-B"
0.9946,"CSA-B"
0.9956,"CSA-B"
0.9966,"CSA-B"
0.9976,"CSA-B"
0.9958,"CSA-B"
0.9962,"CSA-B"
