"Interval_length","group"
8.24850199217461,"CSA-huber"
7.46683570025486,"CSA-huber"
5.12798143072088,"CSA-huber"
15.7653128717297,"CSA-huber"
12.38207894041,"CSA-huber"
12.9292021203949,"CSA-M"
10.9121385208148,"CSA-M"
11.6187700954955,"CSA-M"
12.371638119508,"CSA-M"
12.926642400795,"CSA-M"
13.8860607336266,"CSA-Q"
13.6398812870315,"CSA-Q"
12.574198267601,"CSA-Q"
12.3812074656318,"CSA-Q"
13.2354723820241,"CSA-Q"
11.1521547735186,"ITE-NUC"
10.04301367546,"ITE-NUC"
9.53990903322348,"ITE-NUC"
9.8242677347774,"ITE-NUC"
10.2513246058189,"ITE-NUC"
22.0619052582473,"CSA-B"
18.9324369657227,"CSA-B"
20.6419922891749,"CSA-B"
21.0722278155276,"CSA-B"
20.058907957035,"CSA-B"
