"Interval_length","group"
17.3043240218949,"CSA-M"
17.479257389417,"CSA-M"
18.1301453144548,"CSA-M"
17.5649767285585,"CSA-M"
15.9997489100696,"CSA-M"
16.9302167938131,"CSA-M"
16.7350734157133,"CSA-M"
17.2424401629372,"CSA-M"
17.560882834001,"CSA-M"
17.3396157132439,"CSA-M"
16.8313794674628,"CSA-M"
18.5893427327572,"CSA-M"
17.5826337760323,"CSA-M"
17.5520143508798,"CSA-M"
18.1193889951009,"CSA-M"
18.280387703386,"CSA-M"
16.9105491048968,"CSA-M"
16.0933935430501,"CSA-M"
17.8233861747211,"CSA-M"
17.1803784579332,"CSA-M"
17.8525703376475,"CSA-M"
18.6560559079139,"CSA-M"
18.9720301160787,"CSA-M"
18.6189809789697,"CSA-M"
18.6722507512639,"CSA-M"
17.5356392080006,"CSA-M"
15.9177286535795,"CSA-M"
17.2394332042863,"CSA-M"
16.2019972808023,"CSA-M"
17.0889332070446,"CSA-M"
17.1124053875716,"CSA-M"
17.0922199396132,"CSA-M"
14.0799930968551,"CSA-M"
17.7576564335369,"CSA-M"
17.619908517368,"CSA-M"
18.0564181895078,"CSA-M"
17.6830803457582,"CSA-M"
18.4618329816631,"CSA-M"
18.2380178236559,"CSA-M"
17.525568591137,"CSA-M"
17.6071199632158,"CSA-M"
16.9675763916535,"CSA-M"
16.3214746767488,"CSA-M"
17.5361985611598,"CSA-M"
17.6272400149093,"CSA-M"
19.6135601335183,"CSA-M"
18.8224129061031,"CSA-M"
18.0861969570544,"CSA-M"
17.3843320839668,"CSA-M"
17.0493627471466,"CSA-M"
17.0104006684382,"CSA-Q"
17.4404962278695,"CSA-Q"
18.0375584733492,"CSA-Q"
18.2949935817552,"CSA-Q"
17.299441606625,"CSA-Q"
17.1727031367744,"CSA-Q"
16.5977481178047,"CSA-Q"
17.2890284700733,"CSA-Q"
18.3046160963347,"CSA-Q"
16.3768004174345,"CSA-Q"
18.4580125810382,"CSA-Q"
17.1510234999297,"CSA-Q"
18.5800771973255,"CSA-Q"
16.741300743762,"CSA-Q"
17.8459633786748,"CSA-Q"
17.0321548619641,"CSA-Q"
17.5531879181952,"CSA-Q"
18.0840486538796,"CSA-Q"
17.6185067829239,"CSA-Q"
17.110041313798,"CSA-Q"
17.185680997518,"CSA-Q"
17.9271770390638,"CSA-Q"
18.3573650907297,"CSA-Q"
18.6353555632027,"CSA-Q"
18.7738075022022,"CSA-Q"
17.6918286041326,"CSA-Q"
16.96322922897,"CSA-Q"
18.147167401598,"CSA-Q"
17.0824881441832,"CSA-Q"
17.7637026409704,"CSA-Q"
17.9252571646759,"CSA-Q"
18.8893000874324,"CSA-Q"
17.4668952680462,"CSA-Q"
15.9742472618309,"CSA-Q"
17.2830621922705,"CSA-Q"
17.56665996866,"CSA-Q"
18.5375093695247,"CSA-Q"
17.5622190583228,"CSA-Q"
18.0082824808226,"CSA-Q"
17.58229887836,"CSA-Q"
17.8678367276789,"CSA-Q"
18.2025633232392,"CSA-Q"
17.6344872213884,"CSA-Q"
18.058595987936,"CSA-Q"
16.7447330817465,"CSA-Q"
17.1136330820226,"CSA-Q"
16.8931505119165,"CSA-Q"
17.2950487007395,"CSA-Q"
17.2102044006475,"CSA-Q"
17.1106795869084,"CSA-Q"
18.2982053890221,"ITE-NUC"
16.9064226542361,"ITE-NUC"
18.5260532915767,"ITE-NUC"
17.1680370425617,"ITE-NUC"
16.7041409317485,"ITE-NUC"
17.6021871701011,"ITE-NUC"
17.2938190700536,"ITE-NUC"
18.3715892147102,"ITE-NUC"
17.4684266109758,"ITE-NUC"
16.1845670634289,"ITE-NUC"
17.2171742953028,"ITE-NUC"
18.3080437440632,"ITE-NUC"
17.7926436218697,"ITE-NUC"
18.6379083230307,"ITE-NUC"
17.5753505838213,"ITE-NUC"
18.4154408819256,"ITE-NUC"
17.4306963979833,"ITE-NUC"
17.5329441561999,"ITE-NUC"
17.3845557698086,"ITE-NUC"
17.3848281579557,"ITE-NUC"
17.9196308609022,"ITE-NUC"
18.2918651487315,"ITE-NUC"
16.8942654303568,"ITE-NUC"
16.9334893440395,"ITE-NUC"
18.2495501649385,"ITE-NUC"
17.7869032319193,"ITE-NUC"
17.1953332092534,"ITE-NUC"
17.9593907021571,"ITE-NUC"
16.6064246656293,"ITE-NUC"
17.1900906018298,"ITE-NUC"
17.2362556252475,"ITE-NUC"
18.2154632182217,"ITE-NUC"
17.393487101486,"ITE-NUC"
16.5465037508029,"ITE-NUC"
16.6407517040795,"ITE-NUC"
17.9039626912245,"ITE-NUC"
18.0987013420879,"ITE-NUC"
16.843427724849,"ITE-NUC"
17.582028711219,"ITE-NUC"
16.3432183764176,"ITE-NUC"
18.1675925220512,"ITE-NUC"
18.3574756134058,"ITE-NUC"
17.5684249444101,"ITE-NUC"
17.1694821525902,"ITE-NUC"
17.369933527836,"ITE-NUC"
19.3884962300161,"ITE-NUC"
18.1687093915391,"ITE-NUC"
17.5929242621269,"ITE-NUC"
16.9715229289708,"ITE-NUC"
17.409406815132,"ITE-NUC"
25.3728944294188,"CSA-B"
27.1197882496583,"CSA-B"
27.1246140129977,"CSA-B"
26.4384569059842,"CSA-B"
25.8685298206201,"CSA-B"
25.5582165375719,"CSA-B"
26.9741758609386,"CSA-B"
27.172288150967,"CSA-B"
25.1325408803212,"CSA-B"
25.902142811992,"CSA-B"
26.3844706640509,"CSA-B"
28.5446242539746,"CSA-B"
26.1178904714414,"CSA-B"
27.3293074893289,"CSA-B"
27.7716181065124,"CSA-B"
27.9973354561913,"CSA-B"
26.4523396943743,"CSA-B"
28.9236556726149,"CSA-B"
25.6715590753235,"CSA-B"
27.2359230168154,"CSA-B"
27.348377346858,"CSA-B"
25.8789858918441,"CSA-B"
27.1825030334812,"CSA-B"
25.270778390413,"CSA-B"
25.598466982201,"CSA-B"
25.9596720531128,"CSA-B"
25.896856158336,"CSA-B"
26.2246451104766,"CSA-B"
26.1133523887824,"CSA-B"
26.1901134348317,"CSA-B"
26.8906256340705,"CSA-B"
25.7406584654467,"CSA-B"
27.2121398574497,"CSA-B"
27.0695871066361,"CSA-B"
25.8532229206692,"CSA-B"
26.5616158277518,"CSA-B"
27.1602884685938,"CSA-B"
27.399341990861,"CSA-B"
26.1727107999286,"CSA-B"
27.5409502391525,"CSA-B"
28.6875939735381,"CSA-B"
