,Interval_length,group
0,2.58326798972086,CSSA-M
0,2.6486176677121,CSSA-M
0,2.66382577893269,CSSA-M
0,2.32258834106236,CSSA-M
0,2.54726723189059,CSSA-M
0,2.65787733937804,CSSA-M
0,2.61632986410946,CSSA-M
0,2.8660689226356,CSSA-M
0,2.7110528721669,CSSA-M
0,2.67516501674198,CSSA-M
0,2.7870756168921,CSSA-M
0,2.56896440752321,CSSA-M
0,2.54636273679503,CSSA-M
0,2.89037506656671,CSSA-M
0,2.69339831690267,CSSA-M
0,2.46826750725934,CSSA-M
0,2.68067527758993,CSSA-M
0,2.50987245865729,CSSA-M
0,2.34720870825943,CSSA-M
0,2.67030593800819,CSSA-M
