,Interval_length,group
0,3.0261838826522,CSSA-M
0,3.17107833593025,CSSA-M
0,3.17368489867794,CSSA-M
0,3.44959683889941,CSSA-M
0,3.36265416619745,CSSA-M
0,3.11521788888377,CSSA-M
0,3.13681996916723,CSSA-M
0,3.10976242909147,CSSA-M
0,3.11942499163067,CSSA-M
0,3.14040453999741,CSSA-M
0,3.12087126084815,CSSA-M
0,3.23424857313451,CSSA-M
0,3.08587338821995,CSSA-M
0,3.05477930813288,CSSA-M
0,3.30567919509563,CSSA-M
0,3.25248280034734,CSSA-M
0,3.16430950116315,CSSA-M
0,2.98573067015706,CSSA-M
0,3.10859878334455,CSSA-M
0,3.38460705538515,CSSA-M
