"Interval_length","group"
5.96078140835111,"CSA-M"
5.64339484616121,"CSA-M"
5.62182436096146,"CSA-M"
5.41124587219436,"CSA-M"
5.68547403061688,"CSA-M"
6.03702113333442,"CSA-Q"
6.13831362972656,"CSA-Q"
5.96598505304615,"CSA-Q"
6.4286679155292,"CSA-Q"
6.44537958154366,"CSA-Q"
4.15456191219597,"ITE-NUS"
3.9549668231152,"ITE-NUS"
3.9604353180837,"ITE-NUS"
3.73282489770617,"ITE-NUS"
3.57880012102697,"ITE-NUS"
9.67110072388351,"CSA-B"
9.154650675044,"CSA-B"
9.17484094694864,"CSA-B"
9.09855343056954,"CSA-B"
9.28419676702334,"CSA-B"
