,Interval_length,group
0,3.71686366787571,CSSA-M
0,3.6477442894223,CSSA-M
0,3.39858988045651,CSSA-M
0,3.47561420871224,CSSA-M
0,3.56897352781764,CSSA-M
0,4.15423905681515,CSSA-M
0,3.53061763081111,CSSA-M
0,3.29179993643648,CSSA-M
0,3.48049370807569,CSSA-M
0,3.19059565916805,CSSA-M
0,3.73982402782632,CSSA-M
0,3.47763846147087,CSSA-M
0,3.32650383282604,CSSA-M
0,3.47386403396172,CSSA-M
0,3.04015144563265,CSSA-M
0,3.59374449186454,CSSA-M
0,3.40204931120426,CSSA-M
0,3.41660095503224,CSSA-M
0,3.03553568322263,CSSA-M
0,3.89260247870162,CSSA-M
