,Interval_length,group
0,3.42751870144892,CSSA-M
0,3.19387647069722,CSSA-M
0,2.97658686362859,CSSA-M
0,3.04712597366501,CSSA-M
0,3.23208922108491,CSSA-M
0,3.15582370711831,CSSA-M
0,3.47389593591991,CSSA-M
0,3.37811021264847,CSSA-M
0,3.69874676538344,CSSA-M
0,2.97823297899885,CSSA-M
0,3.30051209457683,CSSA-M
0,3.14400299745016,CSSA-M
0,3.19258465158043,CSSA-M
0,3.39470950702884,CSSA-M
0,2.97461441372744,CSSA-M
0,3.20044946931907,CSSA-M
0,3.13744446537004,CSSA-M
0,3.25524253404605,CSSA-M
0,2.81678579686332,CSSA-M
0,3.20274826206736,CSSA-M
