,Interval_length,group
0,2.86141912692774,CSSA-M
0,2.83771723903449,CSSA-M
0,2.55554656301294,CSSA-M
0,2.5342772857248,CSSA-M
0,2.71731933610729,CSSA-M
0,2.88840163779684,CSSA-M
0,2.6698579468512,CSSA-M
0,2.5270720819229,CSSA-M
0,2.85064132531153,CSSA-M
0,2.66848843056349,CSSA-M
0,2.60079177112245,CSSA-M
0,2.59877488163524,CSSA-M
0,2.71490844686602,CSSA-M
0,2.59024574686002,CSSA-M
0,2.53929363550496,CSSA-M
0,2.6676191984809,CSSA-M
0,2.53515018889477,CSSA-M
0,2.79741888869088,CSSA-M
0,2.82338519865478,CSSA-M
0,2.34655944571182,CSSA-M
