,Interval_length,group
0,3.54215042422679,CSSA-M
0,3.57461956829264,CSSA-M
0,3.23509069252354,CSSA-M
0,3.42617375502387,CSSA-M
0,3.41861499172559,CSSA-M
0,3.28019515607006,CSSA-M
0,3.25154886056319,CSSA-M
0,3.28111653278784,CSSA-M
0,3.1659756676498,CSSA-M
0,3.37281611452184,CSSA-M
0,3.37991216619342,CSSA-M
0,3.30914356489191,CSSA-M
0,3.26959041222093,CSSA-M
0,3.4226901045782,CSSA-M
0,3.3143834756396,CSSA-M
0,3.3399753600396,CSSA-M
0,3.12660274272265,CSSA-M
0,3.54537565535248,CSSA-M
0,3.54933505060243,CSSA-M
0,3.09590606516915,CSSA-M
