"Coverage","group"
0.9864,"CSA-huber"
0.9798,"CSA-huber"
0.983,"CSA-huber"
0.9904,"CSA-huber"
0.9908,"CSA-huber"
0.985,"CSA-huber"
0.9982,"CSA-huber"
0.983,"CSA-huber"
0.9588,"CSA-huber"
0.99,"CSA-huber"
0.9876,"CSA-huber"
0.9824,"CSA-huber"
0.9662,"CSA-huber"
0.9018,"CSA-huber"
0.978,"CSA-huber"
0.9366,"CSA-huber"
0.9658,"CSA-huber"
0.9562,"CSA-huber"
0.9968,"CSA-huber"
0.9796,"CSA-huber"
0.9884,"CSA-huber"
0.9828,"CSA-huber"
0.9796,"CSA-huber"
0.9842,"CSA-huber"
0.9958,"CSA-huber"
0.9862,"CSA-huber"
0.9814,"CSA-huber"
0.97,"CSA-huber"
0.9944,"CSA-huber"
0.971,"CSA-huber"
0.9706,"CSA-M"
0.9814,"CSA-M"
0.9832,"CSA-M"
0.961,"CSA-M"
0.9594,"CSA-M"
0.9706,"CSA-M"
0.9722,"CSA-M"
0.9852,"CSA-M"
0.9746,"CSA-M"
0.9928,"CSA-M"
0.9728,"CSA-M"
0.9728,"CSA-M"
0.9908,"CSA-M"
0.972,"CSA-M"
0.9708,"CSA-M"
0.9802,"CSA-M"
0.994,"CSA-M"
0.9606,"CSA-M"
0.9902,"CSA-M"
0.9918,"CSA-M"
0.9756,"CSA-M"
0.9694,"CSA-M"
0.9838,"CSA-M"
0.986,"CSA-M"
0.9754,"CSA-M"
0.9518,"CSA-M"
0.9606,"CSA-M"
0.9754,"CSA-M"
0.9874,"CSA-M"
0.9796,"CSA-M"
0.985,"CSA-Q"
0.987,"CSA-Q"
0.9782,"CSA-Q"
0.9734,"CSA-Q"
0.9624,"CSA-Q"
0.974,"CSA-Q"
0.9702,"CSA-Q"
0.98,"CSA-Q"
0.9868,"CSA-Q"
0.985,"CSA-Q"
0.9748,"CSA-Q"
0.9928,"CSA-Q"
0.9852,"CSA-Q"
0.9914,"CSA-Q"
0.9832,"CSA-Q"
0.9854,"CSA-Q"
0.9904,"CSA-Q"
0.9778,"CSA-Q"
0.9814,"CSA-Q"
0.9806,"CSA-Q"
0.9782,"CSA-Q"
0.9756,"CSA-Q"
0.9906,"CSA-Q"
0.9914,"CSA-Q"
0.9934,"CSA-Q"
0.984,"CSA-Q"
0.986,"CSA-Q"
0.9866,"CSA-Q"
0.9878,"CSA-Q"
0.9866,"CSA-Q"
0.832,"ITE-NUC"
0.8352,"ITE-NUC"
0.8446,"ITE-NUC"
0.8306,"ITE-NUC"
0.8666,"ITE-NUC"
0.8882,"ITE-NUC"
0.8536,"ITE-NUC"
0.8616,"ITE-NUC"
0.8492,"ITE-NUC"
0.8772,"ITE-NUC"
0.842,"ITE-NUC"
0.8668,"ITE-NUC"
0.8108,"ITE-NUC"
0.841,"ITE-NUC"
0.8292,"ITE-NUC"
0.85,"ITE-NUC"
0.8626,"ITE-NUC"
0.8094,"ITE-NUC"
0.8568,"ITE-NUC"
0.8486,"ITE-NUC"
0.8694,"ITE-NUC"
0.8428,"ITE-NUC"
0.8174,"ITE-NUC"
0.887,"ITE-NUC"
0.799,"ITE-NUC"
0.8718,"ITE-NUC"
0.8468,"ITE-NUC"
0.8424,"ITE-NUC"
0.829,"ITE-NUC"
0.8038,"ITE-NUC"
0.9984,"CSA-B"
0.999,"CSA-B"
0.9982,"CSA-B"
0.9992,"CSA-B"
0.9986,"CSA-B"
0.9988,"CSA-B"
0.9994,"CSA-B"
0.9992,"CSA-B"
0.9996,"CSA-B"
0.9988,"CSA-B"
0.9974,"CSA-B"
0.9994,"CSA-B"
0.9992,"CSA-B"
0.999,"CSA-B"
0.9982,"CSA-B"
0.9998,"CSA-B"
0.9998,"CSA-B"
0.9996,"CSA-B"
1,"CSA-B"
0.9998,"CSA-B"
0.997,"CSA-B"
1,"CSA-B"
0.998,"CSA-B"
0.9992,"CSA-B"
0.9984,"CSA-B"
0.9992,"CSA-B"
0.9998,"CSA-B"
0.9994,"CSA-B"
0.9988,"CSA-B"
0.9992,"CSA-B"
