"Coverage","group"
0.978,"CSA-huber"
0.9952,"CSA-huber"
0.9948,"CSA-huber"
0.9804,"CSA-huber"
0.985,"CSA-huber"
0.9952,"CSA-huber"
0.9888,"CSA-huber"
0.996,"CSA-huber"
0.9974,"CSA-huber"
0.9606,"CSA-huber"
0.9842,"CSA-huber"
0.9824,"CSA-huber"
0.9688,"CSA-huber"
0.9782,"CSA-huber"
0.9954,"CSA-huber"
0.9872,"CSA-huber"
0.9848,"CSA-huber"
0.9866,"CSA-huber"
0.9628,"CSA-huber"
0.9716,"CSA-huber"
0.9898,"CSA-huber"
0.9894,"CSA-huber"
0.9604,"CSA-huber"
0.9714,"CSA-huber"
0.9986,"CSA-huber"
0.9966,"CSA-huber"
0.9986,"CSA-huber"
0.9762,"CSA-huber"
0.9898,"CSA-huber"
0.9952,"CSA-huber"
0.8494,"CSA-M"
0.865,"CSA-M"
0.8614,"CSA-M"
0.8668,"CSA-M"
0.8354,"CSA-M"
0.8192,"CSA-M"
0.8186,"CSA-M"
0.8366,"CSA-M"
0.869,"CSA-M"
0.8398,"CSA-M"
0.8822,"CSA-M"
0.8326,"CSA-M"
0.8486,"CSA-M"
0.848,"CSA-M"
0.8696,"CSA-M"
0.8512,"CSA-M"
0.8582,"CSA-M"
0.8442,"CSA-M"
0.8364,"CSA-M"
0.8552,"CSA-M"
0.8552,"CSA-M"
0.8676,"CSA-M"
0.8534,"CSA-M"
0.868,"CSA-M"
0.8506,"CSA-M"
0.8442,"CSA-M"
0.829,"CSA-M"
0.8894,"CSA-M"
0.8594,"CSA-M"
0.8256,"CSA-M"
0.926,"CSA-Q"
0.8974,"CSA-Q"
0.8604,"CSA-Q"
0.8838,"CSA-Q"
0.8882,"CSA-Q"
0.8858,"CSA-Q"
0.8542,"CSA-Q"
0.8854,"CSA-Q"
0.906,"CSA-Q"
0.8554,"CSA-Q"
0.8516,"CSA-Q"
0.8878,"CSA-Q"
0.8678,"CSA-Q"
0.9096,"CSA-Q"
0.8794,"CSA-Q"
0.8598,"CSA-Q"
0.8768,"CSA-Q"
0.8332,"CSA-Q"
0.8714,"CSA-Q"
0.878,"CSA-Q"
0.8544,"CSA-Q"
0.8716,"CSA-Q"
0.8544,"CSA-Q"
0.905,"CSA-Q"
0.8696,"CSA-Q"
0.8882,"CSA-Q"
0.8972,"CSA-Q"
0.8528,"CSA-Q"
0.8878,"CSA-Q"
0.9032,"CSA-Q"
0.814,"ITE-NUC"
0.827,"ITE-NUC"
0.8192,"ITE-NUC"
0.782,"ITE-NUC"
0.8208,"ITE-NUC"
0.797,"ITE-NUC"
0.8044,"ITE-NUC"
0.818,"ITE-NUC"
0.837,"ITE-NUC"
0.749,"ITE-NUC"
0.767,"ITE-NUC"
0.798,"ITE-NUC"
0.7848,"ITE-NUC"
0.8424,"ITE-NUC"
0.8276,"ITE-NUC"
0.7518,"ITE-NUC"
0.7938,"ITE-NUC"
0.7862,"ITE-NUC"
0.786,"ITE-NUC"
0.8568,"ITE-NUC"
0.8348,"ITE-NUC"
0.826,"ITE-NUC"
0.787,"ITE-NUC"
0.7972,"ITE-NUC"
0.8084,"ITE-NUC"
0.752,"ITE-NUC"
0.78,"ITE-NUC"
0.7924,"ITE-NUC"
0.8222,"ITE-NUC"
0.7952,"ITE-NUC"
0.988,"CSA-B"
0.9904,"CSA-B"
0.978,"CSA-B"
0.9882,"CSA-B"
0.9788,"CSA-B"
0.9844,"CSA-B"
0.9904,"CSA-B"
0.9812,"CSA-B"
0.9822,"CSA-B"
0.9848,"CSA-B"
0.9824,"CSA-B"
0.9862,"CSA-B"
0.9898,"CSA-B"
0.9826,"CSA-B"
0.9804,"CSA-B"
0.9832,"CSA-B"
0.9882,"CSA-B"
0.9846,"CSA-B"
0.9868,"CSA-B"
0.9872,"CSA-B"
0.9818,"CSA-B"
0.984,"CSA-B"
0.9852,"CSA-B"
0.988,"CSA-B"
0.9878,"CSA-B"
0.9822,"CSA-B"
0.9886,"CSA-B"
0.9864,"CSA-B"
0.989,"CSA-B"
0.9856,"CSA-B"
