"Coverage","group"
0.9802,"CSA-huber"
0.9852,"CSA-huber"
0.9886,"CSA-huber"
0.9968,"CSA-huber"
0.9894,"CSA-huber"
0.9842,"CSA-huber"
0.996,"CSA-huber"
0.9912,"CSA-huber"
0.9934,"CSA-huber"
0.9942,"CSA-huber"
0.997,"CSA-huber"
0.9682,"CSA-huber"
0.989,"CSA-huber"
0.9844,"CSA-huber"
0.9902,"CSA-huber"
0.9646,"CSA-huber"
0.993,"CSA-huber"
0.9736,"CSA-huber"
0.9664,"CSA-huber"
0.99,"CSA-huber"
0.9922,"CSA-huber"
0.9918,"CSA-huber"
0.9756,"CSA-huber"
0.977,"CSA-huber"
0.9812,"CSA-huber"
0.968,"CSA-huber"
0.9932,"CSA-huber"
0.9946,"CSA-huber"
0.9956,"CSA-huber"
0.9704,"CSA-huber"
0.7782,"CSA-M"
0.7828,"CSA-M"
0.7524,"CSA-M"
0.7798,"CSA-M"
0.7698,"CSA-M"
0.7826,"CSA-M"
0.7946,"CSA-M"
0.7978,"CSA-M"
0.8056,"CSA-M"
0.7616,"CSA-M"
0.7736,"CSA-M"
0.782,"CSA-M"
0.8104,"CSA-M"
0.7982,"CSA-M"
0.7824,"CSA-M"
0.7852,"CSA-M"
0.7974,"CSA-M"
0.7818,"CSA-M"
0.8304,"CSA-M"
0.7962,"CSA-M"
0.755,"CSA-M"
0.8388,"CSA-M"
0.7784,"CSA-M"
0.7976,"CSA-M"
0.797,"CSA-M"
0.8164,"CSA-M"
0.8076,"CSA-M"
0.8146,"CSA-M"
0.7844,"CSA-M"
0.8026,"CSA-M"
0.825,"CSA-Q"
0.8162,"CSA-Q"
0.809,"CSA-Q"
0.788,"CSA-Q"
0.801,"CSA-Q"
0.7738,"CSA-Q"
0.7992,"CSA-Q"
0.8418,"CSA-Q"
0.8218,"CSA-Q"
0.8106,"CSA-Q"
0.8104,"CSA-Q"
0.8098,"CSA-Q"
0.8734,"CSA-Q"
0.832,"CSA-Q"
0.85,"CSA-Q"
0.8172,"CSA-Q"
0.865,"CSA-Q"
0.7962,"CSA-Q"
0.8208,"CSA-Q"
0.8342,"CSA-Q"
0.7874,"CSA-Q"
0.804,"CSA-Q"
0.7958,"CSA-Q"
0.8006,"CSA-Q"
0.8066,"CSA-Q"
0.801,"CSA-Q"
0.8334,"CSA-Q"
0.8296,"CSA-Q"
0.8554,"CSA-Q"
0.8222,"CSA-Q"
0.839,"ITE-NUC"
0.8012,"ITE-NUC"
0.7924,"ITE-NUC"
0.8432,"ITE-NUC"
0.7958,"ITE-NUC"
0.782,"ITE-NUC"
0.8244,"ITE-NUC"
0.8262,"ITE-NUC"
0.811,"ITE-NUC"
0.835,"ITE-NUC"
0.8178,"ITE-NUC"
0.8244,"ITE-NUC"
0.8364,"ITE-NUC"
0.8374,"ITE-NUC"
0.816,"ITE-NUC"
0.8022,"ITE-NUC"
0.8114,"ITE-NUC"
0.8282,"ITE-NUC"
0.8356,"ITE-NUC"
0.8564,"ITE-NUC"
0.8422,"ITE-NUC"
0.856,"ITE-NUC"
0.8106,"ITE-NUC"
0.8218,"ITE-NUC"
0.8436,"ITE-NUC"
0.8336,"ITE-NUC"
0.8352,"ITE-NUC"
0.8278,"ITE-NUC"
0.8356,"ITE-NUC"
0.85,"ITE-NUC"
0.986,"CSA-B"
0.9818,"CSA-B"
0.98,"CSA-B"
0.9726,"CSA-B"
0.9734,"CSA-B"
0.9732,"CSA-B"
0.9736,"CSA-B"
0.9778,"CSA-B"
0.983,"CSA-B"
0.9818,"CSA-B"
0.9774,"CSA-B"
0.977,"CSA-B"
0.973,"CSA-B"
0.9784,"CSA-B"
0.9762,"CSA-B"
0.976,"CSA-B"
0.978,"CSA-B"
0.9614,"CSA-B"
0.9786,"CSA-B"
0.9674,"CSA-B"
0.9726,"CSA-B"
0.9754,"CSA-B"
0.9682,"CSA-B"
0.9808,"CSA-B"
0.9792,"CSA-B"
0.9716,"CSA-B"
0.9736,"CSA-B"
0.9746,"CSA-B"
0.9824,"CSA-B"
0.969,"CSA-B"
