"Coverage","group"
0.8798,"CSA-huber"
0.5292,"CSA-huber"
0.737,"CSA-huber"
0.735,"CSA-huber"
0.5512,"CSA-huber"
0.6082,"CSA-huber"
0.6658,"CSA-huber"
0.7946,"CSA-huber"
0.6652,"CSA-huber"
0.7352,"CSA-huber"
0.6346,"CSA-huber"
0.6786,"CSA-huber"
0.5774,"CSA-huber"
0.6384,"CSA-huber"
0.6316,"CSA-huber"
0.7886,"CSA-huber"
0.595,"CSA-huber"
0.5688,"CSA-huber"
0.772,"CSA-huber"
0.6748,"CSA-huber"
0.5364,"CSA-huber"
0.699,"CSA-huber"
0.4808,"CSA-huber"
0.8152,"CSA-huber"
0.6106,"CSA-huber"
0.6838,"CSA-huber"
0.6838,"CSA-huber"
0.5554,"CSA-huber"
0.6194,"CSA-huber"
0.5498,"CSA-huber"
0.726,"CSA-M"
0.7064,"CSA-M"
0.711,"CSA-M"
0.7192,"CSA-M"
0.7116,"CSA-M"
0.7326,"CSA-M"
0.7096,"CSA-M"
0.7134,"CSA-M"
0.6938,"CSA-M"
0.7096,"CSA-M"
0.742,"CSA-M"
0.732,"CSA-M"
0.7406,"CSA-M"
0.6882,"CSA-M"
0.7152,"CSA-M"
0.7396,"CSA-M"
0.7336,"CSA-M"
0.6962,"CSA-M"
0.7024,"CSA-M"
0.739,"CSA-M"
0.7394,"CSA-M"
0.721,"CSA-M"
0.7062,"CSA-M"
0.71,"CSA-M"
0.75,"CSA-M"
0.7178,"CSA-M"
0.7024,"CSA-M"
0.7274,"CSA-M"
0.701,"CSA-M"
0.7284,"CSA-M"
0.7436,"CSA-Q"
0.6724,"CSA-Q"
0.6976,"CSA-Q"
0.7606,"CSA-Q"
0.7664,"CSA-Q"
0.7288,"CSA-Q"
0.7204,"CSA-Q"
0.7062,"CSA-Q"
0.7298,"CSA-Q"
0.714,"CSA-Q"
0.7656,"CSA-Q"
0.712,"CSA-Q"
0.6548,"CSA-Q"
0.7166,"CSA-Q"
0.7174,"CSA-Q"
0.725,"CSA-Q"
0.7248,"CSA-Q"
0.698,"CSA-Q"
0.7128,"CSA-Q"
0.7184,"CSA-Q"
0.7744,"CSA-Q"
0.7,"CSA-Q"
0.7128,"CSA-Q"
0.7176,"CSA-Q"
0.7202,"CSA-Q"
0.7192,"CSA-Q"
0.734,"CSA-Q"
0.7344,"CSA-Q"
0.7242,"CSA-Q"
0.6908,"CSA-Q"
0.7014,"ITE-NUC"
0.702,"ITE-NUC"
0.7004,"ITE-NUC"
0.7378,"ITE-NUC"
0.7246,"ITE-NUC"
0.7496,"ITE-NUC"
0.707,"ITE-NUC"
0.6836,"ITE-NUC"
0.7394,"ITE-NUC"
0.7194,"ITE-NUC"
0.7412,"ITE-NUC"
0.704,"ITE-NUC"
0.7036,"ITE-NUC"
0.7532,"ITE-NUC"
0.6924,"ITE-NUC"
0.717,"ITE-NUC"
0.6904,"ITE-NUC"
0.698,"ITE-NUC"
0.7016,"ITE-NUC"
0.7254,"ITE-NUC"
0.7376,"ITE-NUC"
0.674,"ITE-NUC"
0.7014,"ITE-NUC"
0.7214,"ITE-NUC"
0.723,"ITE-NUC"
0.7086,"ITE-NUC"
0.7052,"ITE-NUC"
0.729,"ITE-NUC"
0.7284,"ITE-NUC"
0.6978,"ITE-NUC"
0.947,"CSA-B"
0.938,"CSA-B"
0.9264,"CSA-B"
0.9326,"CSA-B"
0.937,"CSA-B"
0.9052,"CSA-B"
0.9154,"CSA-B"
0.907,"CSA-B"
0.9106,"CSA-B"
0.9388,"CSA-B"
0.9246,"CSA-B"
0.92,"CSA-B"
0.9424,"CSA-B"
0.9468,"CSA-B"
0.928,"CSA-B"
0.9246,"CSA-B"
0.9228,"CSA-B"
0.917,"CSA-B"
0.9298,"CSA-B"
0.914,"CSA-B"
0.95,"CSA-B"
0.921,"CSA-B"
0.9124,"CSA-B"
0.9284,"CSA-B"
0.9442,"CSA-B"
0.9024,"CSA-B"
0.8968,"CSA-B"
0.9304,"CSA-B"
0.9174,"CSA-B"
0.9058,"CSA-B"
