"Coverage","group"
0.7276,"CSA-M"
0.7424,"CSA-M"
0.7784,"CSA-M"
0.7432,"CSA-M"
0.6746,"CSA-M"
0.7208,"CSA-M"
0.7294,"CSA-M"
0.7352,"CSA-M"
0.7504,"CSA-M"
0.7364,"CSA-M"
0.7122,"CSA-M"
0.7984,"CSA-M"
0.7426,"CSA-M"
0.7552,"CSA-M"
0.7834,"CSA-M"
0.7864,"CSA-M"
0.7238,"CSA-M"
0.6728,"CSA-M"
0.7596,"CSA-M"
0.7222,"CSA-M"
0.7606,"CSA-M"
0.7956,"CSA-M"
0.82,"CSA-M"
0.8104,"CSA-M"
0.8116,"CSA-M"
0.7414,"CSA-M"
0.661,"CSA-M"
0.736,"CSA-M"
0.678,"CSA-M"
0.7226,"CSA-M"
0.7184,"CSA-M"
0.7296,"CSA-M"
0.5914,"CSA-M"
0.7704,"CSA-M"
0.7538,"CSA-M"
0.775,"CSA-M"
0.7392,"CSA-M"
0.8006,"CSA-M"
0.771,"CSA-M"
0.74,"CSA-M"
0.749,"CSA-M"
0.711,"CSA-M"
0.6832,"CSA-M"
0.748,"CSA-M"
0.7548,"CSA-M"
0.8448,"CSA-M"
0.811,"CSA-M"
0.77,"CSA-M"
0.7438,"CSA-M"
0.7232,"CSA-M"
0.7074,"CSA-Q"
0.7518,"CSA-Q"
0.7748,"CSA-Q"
0.7958,"CSA-Q"
0.7458,"CSA-Q"
0.7328,"CSA-Q"
0.72,"CSA-Q"
0.7358,"CSA-Q"
0.7914,"CSA-Q"
0.7042,"CSA-Q"
0.8108,"CSA-Q"
0.7336,"CSA-Q"
0.8006,"CSA-Q"
0.7278,"CSA-Q"
0.7664,"CSA-Q"
0.7282,"CSA-Q"
0.755,"CSA-Q"
0.7862,"CSA-Q"
0.7534,"CSA-Q"
0.7194,"CSA-Q"
0.7444,"CSA-Q"
0.7758,"CSA-Q"
0.8086,"CSA-Q"
0.812,"CSA-Q"
0.8202,"CSA-Q"
0.7488,"CSA-Q"
0.7258,"CSA-Q"
0.7862,"CSA-Q"
0.7268,"CSA-Q"
0.754,"CSA-Q"
0.762,"CSA-Q"
0.8158,"CSA-Q"
0.774,"CSA-Q"
0.6928,"CSA-Q"
0.764,"CSA-Q"
0.7662,"CSA-Q"
0.7918,"CSA-Q"
0.754,"CSA-Q"
0.7704,"CSA-Q"
0.7468,"CSA-Q"
0.7812,"CSA-Q"
0.788,"CSA-Q"
0.7556,"CSA-Q"
0.7786,"CSA-Q"
0.7172,"CSA-Q"
0.7306,"CSA-Q"
0.721,"CSA-Q"
0.735,"CSA-Q"
0.7386,"CSA-Q"
0.733,"CSA-Q"
0.7842,"ITE-NUC"
0.7182,"ITE-NUC"
0.804,"ITE-NUC"
0.736,"ITE-NUC"
0.72,"ITE-NUC"
0.7542,"ITE-NUC"
0.757,"ITE-NUC"
0.79,"ITE-NUC"
0.7518,"ITE-NUC"
0.6934,"ITE-NUC"
0.7566,"ITE-NUC"
0.8048,"ITE-NUC"
0.763,"ITE-NUC"
0.817,"ITE-NUC"
0.7694,"ITE-NUC"
0.8048,"ITE-NUC"
0.7504,"ITE-NUC"
0.7516,"ITE-NUC"
0.7458,"ITE-NUC"
0.7466,"ITE-NUC"
0.7772,"ITE-NUC"
0.7884,"ITE-NUC"
0.7316,"ITE-NUC"
0.7234,"ITE-NUC"
0.7946,"ITE-NUC"
0.7576,"ITE-NUC"
0.73,"ITE-NUC"
0.7772,"ITE-NUC"
0.7048,"ITE-NUC"
0.7278,"ITE-NUC"
0.7378,"ITE-NUC"
0.7886,"ITE-NUC"
0.7606,"ITE-NUC"
0.7138,"ITE-NUC"
0.7252,"ITE-NUC"
0.7804,"ITE-NUC"
0.7728,"ITE-NUC"
0.715,"ITE-NUC"
0.7446,"ITE-NUC"
0.6896,"ITE-NUC"
0.7894,"ITE-NUC"
0.797,"ITE-NUC"
0.7484,"ITE-NUC"
0.7304,"ITE-NUC"
0.7424,"ITE-NUC"
0.8414,"ITE-NUC"
0.796,"ITE-NUC"
0.7648,"ITE-NUC"
0.726,"ITE-NUC"
0.7426,"ITE-NUC"
0.966,"CSA-B"
0.983,"CSA-B"
0.98,"CSA-B"
0.9756,"CSA-B"
0.9724,"CSA-B"
0.9682,"CSA-B"
0.981,"CSA-B"
0.982,"CSA-B"
0.9646,"CSA-B"
0.9702,"CSA-B"
0.9754,"CSA-B"
0.9874,"CSA-B"
0.9672,"CSA-B"
0.982,"CSA-B"
0.9868,"CSA-B"
0.9908,"CSA-B"
0.975,"CSA-B"
0.9906,"CSA-B"
0.9714,"CSA-B"
0.9824,"CSA-B"
0.9792,"CSA-B"
0.9674,"CSA-B"
0.9814,"CSA-B"
0.9728,"CSA-B"
0.9708,"CSA-B"
0.9682,"CSA-B"
0.9686,"CSA-B"
0.9736,"CSA-B"
0.9744,"CSA-B"
0.9786,"CSA-B"
0.9812,"CSA-B"
0.9734,"CSA-B"
0.981,"CSA-B"
0.983,"CSA-B"
0.9684,"CSA-B"
0.976,"CSA-B"
0.9792,"CSA-B"
0.9832,"CSA-B"
0.9768,"CSA-B"
0.986,"CSA-B"
0.9848,"CSA-B"
0.9762,"CSA-B"
0.9784,"CSA-B"
0.9862,"CSA-B"
0.9752,"CSA-B"
0.9864,"CSA-B"
0.9818,"CSA-B"
0.9804,"CSA-B"
0.9818,"CSA-B"
0.9768,"CSA-B"
